Date,latitude,longitude,mag
736885.0,19.4131667,-155.2625,3.08
736885.0,19.4168333,-155.2733333,3.43
736885.0,19.4136667,-155.265,3.23
736885.0,19.3266667,-155.1405,1.51
736884.0,19.4151667,-155.2765,3.51
736884.0,19.4138333,-155.2596667,3.33
736884.0,19.4145,-155.2698333,2.57
736884.0,19.4011667,-155.2676667,3.64
736884.0,19.4093333,-155.2635,3.92
736884.0,19.9793333,-155.5168333,2.2
736883.0,19.41,-155.2631667,3.64
736883.0,19.398,-155.2686667,3.0
736883.0,19.4165,-155.2775,3.59
736883.0,19.4155,-155.2623333,3.16
736883.0,19.4163333,-155.2606667,2.92
736883.0,19.4075,-155.287,2.56
736883.0,19.399,-155.2775,3.57
736883.0,19.3998333,-155.2655,3.02
736883.0,19.416,-155.2746667,3.81
736883.0,19.4121667,-155.2635,3.15
736883.0,19.4123333,-155.2636667,3.06
736883.0,19.4138333,-155.2628333,3.2
736883.0,19.4006667,-155.2835,1.74
736883.0,19.4128333,-155.2658333,3.33
736883.0,19.4153333,-155.2781667,3.74
736883.0,19.4131667,-155.2626667,3.3
736882.0,19.4013333,-155.27,2.92
736882.0,19.4191667,-155.275,3.26
736882.0,19.4163333,-155.2786667,3.28
736882.0,19.4083333,-155.2803333,3.81
736882.0,19.4146667,-155.262,3.05
736882.0,19.6158333,-155.8566667,2.14
736882.0,19.4138333,-155.2775,3.31
736882.0,19.4148333,-155.275,2.77
736882.0,19.4143333,-155.2615,3.23
736881.0,19.4086667,-155.2733333,3.52
736881.0,19.4015,-155.2675,3.6
736881.0,19.4143333,-155.2636667,3.2
736881.0,19.399,-155.2746667,3.29
736881.0,19.416,-155.2766667,3.72
736881.0,19.4125,-155.2663333,3.3
736881.0,19.4093333,-155.2718333,3.7
736881.0,19.4016667,-155.2676667,3.26
736880.0,19.418,-155.2783333,3.89
736880.0,19.403,-155.2641667,2.44
736880.0,19.4096667,-155.2621667,3.57
736880.0,19.4158333,-155.279,3.72
736880.0,19.4138333,-155.2623333,3.81
736880.0,19.4073333,-155.2625,2.43
736880.0,19.4045,-155.275,3.86
736880.0,19.3991667,-155.2708333,3.27
736880.0,19.4148333,-155.2775,3.73
736879.0,19.415,-155.2786667,3.82
736879.0,19.4138333,-155.264,3.55
736879.0,19.4176667,-155.2778333,3.63
736879.0,19.4173333,-155.2658333,3.11
736879.0,19.364,-154.9996667,1.39
