,,Date,latitude,longitude,mag
df_2011-2018-DYFI.csv,180,736894.0,19.4128333,-155.2683333,3.41
df_2011-2018-DYFI.csv,181,736894.0,19.399,-155.2681667,3.53
df_2011-2018-DYFI.csv,182,736894.0,19.415,-155.264,3.29
df_2011-2018-DYFI.csv,183,736894.0,19.4108333,-155.2771667,2.81
df_2011-2018-DYFI.csv,184,736894.0,19.3975,-155.269,3.48
df_2011-2018-DYFI.csv,185,736893.0,19.202,-155.4525,1.73
df_2011-2018-DYFI.csv,186,736893.0,19.3961667,-155.2748333,5.3
df_2011-2018-DYFI.csv,187,736893.0,19.3966667,-155.2611667,3.16
df_2011-2018-DYFI.csv,188,736893.0,19.4145,-155.2651667,3.28
df_2011-2018-DYFI.csv,189,736893.0,19.4163333,-155.278,3.25
df_2011-2018-DYFI.csv,190,736893.0,19.3993333,-155.263,2.34
df_2011-2018-DYFI.csv,191,736893.0,19.3391667,-155.1356667,0.68
df_2011-2018-DYFI.csv,192,736893.0,19.413,-155.2765,2.95
df_2011-2018-DYFI.csv,193,736893.0,19.4138333,-155.2623333,2.99
df_2011-2018-DYFI.csv,194,736893.0,19.4163333,-155.2791667,3.85
df_2011-2018-DYFI.csv,195,736893.0,19.4126667,-155.2625,3.04
df_2011-2018-DYFI.csv,196,736893.0,19.4118333,-155.2653333,3.29
df_2011-2018-DYFI.csv,197,736893.0,19.4161667,-155.2776667,3.62
df_2011-2018-DYFI.csv,198,736893.0,19.4163333,-155.2776667,2.88
df_2011-2018-DYFI.csv,199,736893.0,19.4153333,-155.2608333,3.34
df_2011-2018-DYFI.csv,200,736893.0,19.4168333,-155.2718333,2.78
df_2011-2018-DYFI.csv,201,736893.0,19.4036667,-155.2865,2.42
df_2011-2018-DYFI.csv,202,736893.0,19.4105,-155.2835,2.55
df_2011-2018-DYFI.csv,203,736892.0,19.4111667,-155.2741667,3.72
df_2011-2018-DYFI.csv,204,736892.0,19.4133333,-155.2651667,3.33
df_2011-2018-DYFI.csv,205,736892.0,19.413,-155.2626667,3.52
df_2011-2018-DYFI.csv,206,736891.0,19.3995,-155.2775,5.3
df_2011-2018-DYFI.csv,207,736891.0,19.3993333,-155.2765,4.04
df_2011-2018-DYFI.csv,208,736891.0,19.4161667,-155.2756667,3.71
df_2011-2018-DYFI.csv,209,736891.0,19.4133333,-155.265,3.25
df_2011-2018-DYFI.csv,210,736891.0,19.4013333,-155.2688333,3.56
df_2011-2018-DYFI.csv,211,736891.0,19.4135,-155.2658333,3.22
df_2011-2018-DYFI.csv,212,736891.0,19.4106667,-155.2753333,3.69
df_2011-2018-DYFI.csv,213,736891.0,19.4033333,-155.2718333,2.91
df_2011-2018-DYFI.csv,214,736891.0,19.4113333,-155.2635,3.13
df_2011-2018-DYFI.csv,215,736891.0,19.4163333,-155.2778333,3.73
df_2011-2018-DYFI.csv,216,736891.0,19.4005,-155.2698333,2.61
df_2011-2018-DYFI.csv,217,736891.0,19.4141667,-155.273,2.77
df_2011-2018-DYFI.csv,218,736890.0,19.4006667,-155.2725,3.85
df_2011-2018-DYFI.csv,219,736890.0,19.4116667,-155.2625,3.12
df_2011-2018-DYFI.csv,220,736890.0,19.4085,-155.2846667,3.13
df_2011-2018-DYFI.csv,221,736890.0,19.4165,-155.277,3.79
df_2011-2018-DYFI.csv,222,736890.0,19.4131667,-155.2635,3.47
df_2011-2018-DYFI.csv,223,736890.0,19.3955,-155.2806667,3.3
df_2011-2018-DYFI.csv,224,736890.0,19.4,-155.266,3.33
df_2011-2018-DYFI.csv,225,736890.0,19.4165,-155.278,3.6
df_2011-2018-DYFI.csv,226,736890.0,19.4158333,-155.271,3.29
df_2011-2018-DYFI.csv,227,736890.0,19.4001667,-155.2745,3.16
df_2011-2018-DYFI.csv,228,736890.0,19.4168333,-155.2766667,3.73
df_2011-2018-DYFI.csv,229,736890.0,19.4128333,-155.2615,3.41
df_2011-2018-DYFI.csv,230,736889.0,19.4116667,-155.2751667,3.54
df_2011-2018-DYFI.csv,231,736889.0,19.4128333,-155.2631667,3.21
df_2011-2018-DYFI.csv,232,736889.0,19.4003333,-155.2886667,2.72
df_2011-2018-DYFI.csv,233,736889.0,19.3975,-155.2905,3.54
df_2011-2018-DYFI.csv,234,736889.0,19.4193333,-155.2768333,4.36
df_2011-2018-DYFI.csv,235,736889.0,19.3996667,-155.2678333,3.1
df_2011-2018-DYFI.csv,236,736889.0,19.4175,-155.276,3.86
df_2011-2018-DYFI.csv,237,736889.0,19.4131667,-155.2663333,3.57
df_2011-2018-DYFI.csv,238,736889.0,19.4031667,-155.2748333,3.37
df_2011-2018-DYFI.csv,239,736888.0,19.4108333,-155.2791667,3.34
df_2011-2018-DYFI.csv,240,736888.0,19.3961667,-155.2883333,3.3
df_2011-2018-DYFI.csv,241,736888.0,19.4175,-155.2663333,3.26
df_2011-2018-DYFI.csv,242,736888.0,19.413,-155.262,3.36
df_2011-2018-DYFI.csv,243,736888.0,19.3703333,-154.9735,3.63
df_2011-2018-DYFI.csv,244,736888.0,19.4116667,-155.2605,3.26
df_2011-2018-DYFI.csv,245,736888.0,19.4138333,-155.2778333,3.39
df_2011-2018-DYFI.csv,246,736888.0,19.4173333,-155.2731667,2.5
df_2011-2018-DYFI.csv,247,736888.0,19.4135,-155.265,3.25
df_2011-2018-DYFI.csv,248,736887.0,19.4188333,-155.2746667,3.63
df_2011-2018-DYFI.csv,249,736887.0,19.4131667,-155.2645,3.38
df_2011-2018-DYFI.csv,250,736887.0,19.4138333,-155.2636667,3.25
df_2011-2018-DYFI.csv,251,736887.0,19.3995,-155.2658333,3.56
df_2011-2018-DYFI.csv,252,736887.0,19.406,-155.2851667,3.52
df_2011-2018-DYFI.csv,253,736887.0,19.4093333,-155.281,3.38
df_2011-2018-DYFI.csv,254,736887.0,19.4151667,-155.2773333,3.77
df_2011-2018-DYFI.csv,255,736887.0,19.4136667,-155.2645,3.31
df_2011-2018-DYFI.csv,256,736887.0,19.413,-155.2636667,3.22
df_2011-2018-DYFI.csv,257,736887.0,19.4123333,-155.2658333,3.18
df_2011-2018-DYFI.csv,258,736886.0,19.4183333,-155.2796667,3.63
df_2011-2018-DYFI.csv,259,736886.0,19.4126667,-155.2656667,3.25
df_2011-2018-DYFI.csv,260,736886.0,19.4096667,-155.2783333,3.25
df_2011-2018-DYFI.csv,261,736886.0,19.3818333,-154.9623333,1.48
df_2011-2018-DYFI.csv,262,736886.0,19.3995,-155.2855,3.45
df_2011-2018-DYFI.csv,263,736886.0,19.4126667,-155.2685,3.6
df_2011-2018-DYFI.csv,264,736886.0,19.399,-155.2773333,3.66
df_2011-2018-DYFI.csv,265,736886.0,19.4188333,-155.2736667,3.63
df_2011-2018-DYFI.csv,266,736886.0,19.332,-155.1418333,0.99
df_2011-2018-DYFI.csv,267,736886.0,19.4141667,-155.2625,3.32
df_2011-2018-DYFI.csv,268,736886.0,19.4163333,-155.2773333,3.51
df_2011-2018-DYFI.csv,269,736886.0,19.4151667,-155.272,2.05
df_2011-2018-DYFI.csv,270,736886.0,19.4013333,-155.264,3.36
df_2011-2018-DYFI.csv,271,736886.0,19.2115,-155.4068333,3.79
df_2011-2018-DYFI.csv,272,736886.0,19.1941667,-155.3968333,2.76
df_2011-2018-DYFI.csv,273,736886.0,19.4133333,-155.2596667,3.33
df_2011-2018-DYFI.csv,274,736886.0,19.4143333,-155.2853333,2.94
df_2011-2018-DYFI.csv,275,736886.0,19.4065,-155.2865,3.2
df_2011-2018-DYFI.csv,276,736886.0,19.404,-155.2738333,3.59
df_2011-2018-DYFI.csv,277,736886.0,19.4146667,-155.2771667,3.58
df_2011-2018-DYFI.csv,278,736886.0,19.4143333,-155.2635,3.3
df_2011-2018-DYFI.csv,279,736886.0,19.4135,-155.2626667,3.27
df_2011-2018-DYFI.csv,280,736886.0,19.4126667,-155.276,2.92
df_2011-2018-DYFI.csv,281,736886.0,19.401,-155.2905,3.13
df_2011-2018-DYFI.csv,282,736886.0,19.3996667,-155.2653333,2.71
df_2011-2018-DYFI.csv,283,736886.0,19.4155,-155.2618333,3.96
df_2011-2018-DYFI.csv,284,736886.0,19.4181667,-155.2763333,3.42
df_2011-2018-DYFI.csv,285,736886.0,19.414,-155.2753333,2.77
df_2011-2018-DYFI.csv,286,736886.0,19.4008333,-155.2663333,3.03
df_2011-2018-DYFI.csv,287,736885.0,19.411,-155.2823333,3.34
df_2011-2018-DYFI.csv,288,736885.0,19.4113333,-155.2605,3.09
df_2011-2018-DYFI.csv,289,736885.0,19.397,-155.2736667,3.59
df_2011-2018-DYFI.csv,290,736885.0,19.416,-155.2746667,3.76
df_2011-2018-DYFI.csv,291,736885.0,19.4141667,-155.2648333,3.39
df_2011-2018-DYFI.csv,292,736885.0,19.4835,-155.4351667,1.18
df_2011-2018-DYFI.csv,293,736885.0,19.4135,-155.2636667,3.19
df_2011-2018-DYFI.csv,294,736885.0,19.3981667,-155.269,3.54
df_2011-2018-DYFI.csv,295,736885.0,19.4131667,-155.2625,3.08
df_2011-2018-DYFI.csv,296,736885.0,19.4168333,-155.2733333,3.43
df_2011-2018-DYFI.csv,297,736885.0,19.4136667,-155.265,3.23
df_2011-2018-DYFI.csv,298,736885.0,19.3266667,-155.1405,1.51
df_2011-2018-DYFI.csv,299,736884.0,19.4151667,-155.2765,3.51
df_2011-2018-DYFI.csv,300,736884.0,19.4138333,-155.2596667,3.33
df_2011-2018-DYFI.csv,301,736884.0,19.4145,-155.2698333,2.57
df_2011-2018-DYFI.csv,302,736884.0,19.4011667,-155.2676667,3.64
df_2011-2018-DYFI.csv,303,736884.0,19.4093333,-155.2635,3.92
df_2011-2018-DYFI.csv,304,736884.0,19.9793333,-155.5168333,2.2
df_2011-2018-DYFI.csv,305,736883.0,19.41,-155.2631667,3.64
df_2011-2018-DYFI.csv,306,736883.0,19.398,-155.2686667,3.0
df_2011-2018-DYFI.csv,307,736883.0,19.4165,-155.2775,3.59
df_2011-2018-DYFI.csv,308,736883.0,19.4155,-155.2623333,3.16
