,,Date,SITE_LATITUDE,SITE_LONGITUDE,Daily Max 1-hour SO2 Concentration
df_ad_viz_plotval_data (2018).csv,220,820189.0,19.4308,-155.2578,88.0
df_ad_viz_plotval_data (2018).csv,221,8201810.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,222,8201811.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,223,8201812.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,224,8201813.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,225,8201814.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,226,8201815.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,227,8201816.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,228,8201817.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,229,8201818.0,19.4308,-155.2578,5.0
df_ad_viz_plotval_data (2018).csv,230,8201819.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,231,8201820.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,232,8201821.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,233,8201822.0,19.4308,-155.2578,5.0
df_ad_viz_plotval_data (2018).csv,234,8201823.0,19.4308,-155.2578,1.0
df_ad_viz_plotval_data (2018).csv,235,8201824.0,19.4308,-155.2578,1.0
df_ad_viz_plotval_data (2018).csv,236,8201825.0,19.4308,-155.2578,18.0
df_ad_viz_plotval_data (2018).csv,237,8201826.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,238,8201827.0,19.4308,-155.2578,22.0
df_ad_viz_plotval_data (2018).csv,239,8201828.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,240,8201829.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,241,8201830.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,242,8201831.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,243,920181.0,19.4308,-155.2578,8.0
df_ad_viz_plotval_data (2018).csv,244,920182.0,19.4308,-155.2578,34.0
df_ad_viz_plotval_data (2018).csv,245,920183.0,19.4308,-155.2578,6.0
df_ad_viz_plotval_data (2018).csv,246,920184.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,247,920185.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,248,920186.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,249,920187.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,250,920188.0,19.4308,-155.2578,8.0
df_ad_viz_plotval_data (2018).csv,251,920189.0,19.4308,-155.2578,6.0
df_ad_viz_plotval_data (2018).csv,252,9201810.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,253,9201811.0,19.4308,-155.2578,18.0
df_ad_viz_plotval_data (2018).csv,254,9201812.0,19.4308,-155.2578,25.0
df_ad_viz_plotval_data (2018).csv,255,9201813.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,256,9201814.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,257,9201815.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,258,9201816.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,259,9201817.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,260,9201818.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,261,9201819.0,19.4308,-155.2578,18.0
df_ad_viz_plotval_data (2018).csv,262,9201820.0,19.4308,-155.2578,19.0
df_ad_viz_plotval_data (2018).csv,263,9201821.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,264,9201822.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,265,9201823.0,19.4308,-155.2578,9.0
df_ad_viz_plotval_data (2018).csv,266,9201824.0,19.4308,-155.2578,14.0
df_ad_viz_plotval_data (2018).csv,267,9201825.0,19.4308,-155.2578,17.0
df_ad_viz_plotval_data (2018).csv,268,9201826.0,19.4308,-155.2578,24.0
df_ad_viz_plotval_data (2018).csv,269,9201827.0,19.4308,-155.2578,15.0
df_ad_viz_plotval_data (2018).csv,270,9201828.0,19.4308,-155.2578,2.0
df_ad_viz_plotval_data (2018).csv,271,9201829.0,19.4308,-155.2578,8.0
df_ad_viz_plotval_data (2018).csv,272,9201830.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,273,1020181.0,19.4308,-155.2578,25.0
df_ad_viz_plotval_data (2018).csv,274,1020182.0,19.4308,-155.2578,2.0
df_ad_viz_plotval_data (2018).csv,275,1020183.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,276,1020184.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,277,1020185.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,278,1020186.0,19.4308,-155.2578,8.0
df_ad_viz_plotval_data (2018).csv,279,1020187.0,19.4308,-155.2578,2.0
df_ad_viz_plotval_data (2018).csv,280,1020188.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,281,1020189.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,282,10201810.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,283,10201811.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,284,10201812.0,19.4308,-155.2578,16.0
df_ad_viz_plotval_data (2018).csv,285,10201813.0,19.4308,-155.2578,81.0
df_ad_viz_plotval_data (2018).csv,286,10201814.0,19.4308,-155.2578,15.0
df_ad_viz_plotval_data (2018).csv,287,10201815.0,19.4308,-155.2578,5.0
df_ad_viz_plotval_data (2018).csv,288,10201816.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,289,10201817.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,290,10201818.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,291,10201819.0,19.4308,-155.2578,2.0
df_ad_viz_plotval_data (2018).csv,292,10201820.0,19.4308,-155.2578,10.0
df_ad_viz_plotval_data (2018).csv,293,10201821.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,294,10201822.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,295,10201823.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,296,10201824.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,297,10201825.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,298,10201826.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,299,10201827.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,300,10201828.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,301,10201829.0,19.4308,-155.2578,5.0
df_ad_viz_plotval_data (2018).csv,302,10201830.0,19.4308,-155.2578,20.0
df_ad_viz_plotval_data (2018).csv,303,10201831.0,19.4308,-155.2578,23.0
df_ad_viz_plotval_data (2018).csv,304,1120181.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,305,1120182.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,306,1120183.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,307,1120184.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,308,1120185.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,309,1120186.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,310,1120187.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,311,1120188.0,19.4308,-155.2578,13.0
df_ad_viz_plotval_data (2018).csv,312,1120189.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,313,11201810.0,19.4308,-155.2578,4.0
df_ad_viz_plotval_data (2018).csv,314,11201811.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,315,11201812.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,316,11201813.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,317,11201814.0,19.4308,-155.2578,26.0
df_ad_viz_plotval_data (2018).csv,318,11201815.0,19.4308,-155.2578,4.0
df_ad_viz_plotval_data (2018).csv,319,11201816.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,320,11201817.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,321,11201818.0,19.4308,-155.2578,0.0
